reference	verse	book
Daniel 3:21	[When the strong soldiers tied Shadrach, Meshach, and Abednego with ropes] Shadrach, Meshach, and Abednego were wearing clothes and coats. Then the strong soldiers threw these three men into the extremely hot fire.	Daniel
Matthew 26:15	And Judas-Iscariot asked those chief priests _implicit, ["How-much-many money do you(priests) agree [to give me(Judas) [if I(Judas) give Jesus to you(priests)]]?"] So the chief priests gave to Judas-Iscariot 30 silver coins.	Matthew
Matthew 5:2	And Jesus began [to teach those disciples]. (paragraph) Jesus said,	Matthew
Joshua 6:14	So on the second day the Israelites walked/marched around the city -iteration one time. Then the Israelites returned to the Israelites' tents. The Israelites walked around the city for 6 days. The Israelites walked around the city -iteration 1 time each day.	Joshua
1 Samuel 24:8	Then David went out from that cave. And David shouted to Saul, ["My(David's) master, my(David's) king!"]  Then Saul turned around.  And David bowed to Saul.  David moved David’s face to the ground.	1_Samuel
1 Samuel 15:32	Then Samuel said, ["You(soldiers) (imp) bring Agag [who is king of the Amalekites] to me(Samuel).]"  So the soldiers brought Agag to Samuel.  Agag was tied with chains.  But Agag thought, ["These people will not kill me(Agag) now]."	1_Samuel
Matthew 27:7	So those chief priests decided [to use the money [in order to buy the field of the person [who makes pots with clay] ]]. Those chief priests wanted [that field to become a place [that people _implicitNecessary bury dead _implicit people _DifferentNounIndex [who are from another country] in]].	Matthew
Mark 12:44	For those people gave a little part of those people's money. But [although this woman/widow is very poor] this woman/widow still _implicit gave all the money [that this woman/widow had-A [in-order-to live]]. "	Mark
Matthew 24:6	You(followers) will hear-D about wars. And you(followers) will hear-A reports/rumor [that are about wars]. But you(followers) (imp) do not become upset/troubled. These events must happen. But the end-A of all things _implicit will not happen yet.	Matthew
Daniel 6:23	Then the king was very happy. The king ordered [the king's servants to take away the stone from the pit].  Then the king ordered [the king's servants to lift Daniel from the pit]. So the servants lifted Daniel from the pit. The servants saw [that the lions had not hurt Daniel]. The lions did not hurt Daniel [because Daniel had trusted God].	Daniel
1 Samuel 23:24	So those men returned to Ziph. At that time David and the men [who were with David] were in the Desert named Maon. That desert was in Arabah [which was on the southern side of Jeshimon].	1_Samuel
Matthew 27:19	_paragraph [While Pilate was sitting on the seat [that a ruler _generic sits on [when a ruler _generic judges people _generic]],] Pilate's wife sent a message to Pilate. Pilate's wife said in that message _implicit, ["You(Pilate) (imp) do not decide [to punish that man [who is not guilty]]]. For I(wife) much suffered in-E this morning in-I a dream because of that man."	Matthew
Matthew 24:48	But [if that servant is evil,] that servant might think, ["My(servant's) master will not come soon"].	Matthew
1 Samuel 24:5	Then (implicit-info) David returned to the other men in that cave. But David felt bad [because David cut-off a piece of Saul’s robe].	1_Samuel
Matthew 12:38	(title) The Pharisees ask [Jesus to do a miracle]. _paragraph Then some Pharisees and some scribes said to Jesus, ["Master/teacher, we(Pharisees) want [you(master) to do a miracle [ in order (implicit-situational) to show us(Pharisees) your(Jesus's) power]]"].	Matthew
Genesis 22:23	Later Bethuel became the father of Rebekah. Milcah was the mother of these 8 sons. and Nahor [who was Abraham's brother] was the father of these 8 sons.	Genesis
2 Samuel 22:15	Yahweh shot Yahweh's arrows. And the enemies run-away.Yahweh completely defeated the enemies with much lightning.	2_Samuel
Joshua 10:11	The Israelites chased those armies from Beth-Horon to Azekah. [While the Israelites were chasing those armies] Yahweh threw large pieces of ice/hail at those armies from the sky. The ice/hail killed many of those soldiers.  The Israelites killed many soldiers with the Israelites' swords.  But the ice/hail killed more soldiers.	Joshua
1 Samuel 1:14	Then Eli said to Hannah, ["You(Hannah) (imp) do not become drunk!] You(Hannah) (imp) throw-away your(Hannah's) wine!"	1_Samuel
Genesis 31:49	People also called that place Mizpah [because Laban said, ["I(Laban) pray-hope [that Yahweh will watch us(Laban) [when we(Laban) are far from each-other(Laban)]]"]]. -Footnote Mizpah means to watch.	Genesis
Genesis 47:12	And Joseph also gave food to Joseph's father, to Joseph's brothers, and to all the people [who lived with Joseph's family].	Genesis
Genesis 24:27	The servant said, ["I(servant) praise Yahweh!]  Yahweh is the God of my(servant's) master named Abraham. Yahweh is kind to Abraham.  and Yahweh is faithful to Abraham. Yahweh led me(servant) to the relatives of the master of me(servant)."	Genesis
Mark 3:3	Jesus said to the man [who had a sick/shriveled hand], ["You(man) (imp) stand-up in-front-of all of the people."]	Mark
Daniel 11:26	People [who eat food with the king of the south region] will try [to kill the king]. The men [who are in this king's army] will leave the king. And many soldiers will die.	Daniel
Esther 7:6	Esther said to the king, ["The man [who hates my(Esther's) people] is this wicked man, Haman."] Then Haman became very afraid of the king and of the queen.	Esther
Matthew 10:2	_paragraph The names of the 12 apostles [_descriptive who (implicit-situational) were Jesus's followers/disciples] were _be-K Simon [who was called Peter by people _implicitActiveAgent] and Simon’s brother named Andrew, James [who was the son of Zebedee], and James’s brother named John,	Matthew
Daniel 5:8	Then all the king's wise men came into the palace. But the wise men were not able [to read the message]. The wise men were not able [to tell the king about the meaning of the message].	Daniel
Acts 16:36	So the chief guard of the prison said to Paul, ["The officials have sent these soldiers [to free you]]. So you(Paul and Silas) may go]. You(Paul and Silas) may go now. You(Paul and Silas) have (imp) peace as you(Paul and Silas) go."]	Acts
Matthew 1:3	Judah became the father of Perez and Zerah. Perez's and Zerah's mother was Tamar. Perez became the father of Hezron. And Hezron became the father of Ram.	Matthew
Joshua 19:12	Then the border went from Sarid to Kisloth-Tabor, Daberath, and Japhia.	Joshua
Mark 10:12	And a woman [who ends that woman's marriage [that is with that woman's husband]] [and who marries another man] is not faithful to that woman's previous husband."	Mark
Genesis 27:4	[After you(Esau) cook that animal] you(Esau) (imp) bring that food to me(Isaac). [After I(Isaac) eat that food] I(Isaac) will bless you(Esau).  I(Isaac) want [to bless you(Esau) [before I(Isaac) die]]".	Genesis
Genesis 42:31	But We(brothers) told that official [that we(brothers) are honest]. We(brothers) said [that we(brothers) are not spies].	Genesis
1 Samuel 15:13	So Samuel went to Saul. And Saul said to Samuel, ["I(Saul) hope [that Yahweh will bless you(Samuel)]!] I(Saul) obeyed Yahweh's instructions."	1_Samuel
1 Samuel 25:9	[When those men arrived at Nabal's house] those men said those things to Nabal. Then those men waited.	1_Samuel
